Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,GPlatforms,Has_Score
Ultimate Spider-Man,PS2,2005.0,Action,Activision,0.6,0.02,0.0,0.1,0.72,74.0,52.0,7.9,54.0,Treyarch,T,Playstation,True
Indiana Jones and the Staff of Kings,Wii,2009.0,Action,Activision,0.36,0.29,0.0,0.07,0.72,55.0,32.0,7,28.0,Artificial Mind and Movement,T,Nintendo,True
Disney Infinity 3.0,PS4,2015.0,Action,Disney Interactive Studios,0.24,0.37,0.0,0.12,0.72,,,,,,,Playstation,False
Avatar: The Game,Wii,2009.0,Action,Ubisoft,0.32,0.32,0.0,0.07,0.72,,,,,,,Nintendo,False
Ben 10: Protector of Earth,PSP,2007.0,Action,D3Publisher,0.23,0.3,0.0,0.18,0.71,60.0,4.0,7.2,23.0,High Voltage Software,E10+,Portable,True
Dragon Ball: Xenoverse 2,PS4,2016.0,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71,73.0,54.0,7.8,117.0,Dimps Corporation,T,Playstation,True
Spider-Man 2,PSP,2005.0,Action,Activision,0.35,0.21,0.0,0.14,0.7,67.0,43.0,6.9,8.0,Vicarious Visions,T,Portable,True
Skylanders: Trap Team,WiiU,2014.0,Action,Activision,0.38,0.26,0.0,0.06,0.7,86.0,4.0,7.1,18.0,Toys for Bob,E10+,Nintendo,True
Star Wars: Obi-Wan,XB,2001.0,Action,Activision,0.52,0.16,0.0,0.02,0.7,58.0,28.0,5.9,14.0,LucasArts,T,Xbox,True
Prince of Persia: The Forgotten Sands,PS3,2010.0,Action,Ubisoft,0.19,0.36,0.01,0.12,0.69,75.0,49.0,7.6,120.0,Ubisoft Montreal,T,Playstation,True
X-Men Origins: Wolverine - Uncaged Edition,X360,2009.0,Action,Activision,0.42,0.21,0.0,0.06,0.69,,,,,,,Xbox,False
Shrek the Third,X360,2007.0,Action,Activision,0.54,0.09,0.0,0.06,0.68,,,,,,,Xbox,False
Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68,63.0,8.0,9,4.0,Vicarious Visions,E,Portable,True
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,0.57,0.02,0.0,0.09,0.68,85.0,46.0,8.5,111.0,Ubisoft Montreal,M,Playstation,True
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,,Action,Disney Interactive Studios,0.48,0.18,0.0,0.01,0.67,66.0,7.0,6.8,5.0,Amaze Entertainment,E,Portable,True
Disney Tangled,Wii,2010.0,Action,Disney Interactive Studios,0.46,0.16,0.0,0.05,0.67,,,,,,,Nintendo,False
Bakugan: Battle Brawlers,Wii,2009.0,Action,Activision,0.59,0.03,0.0,0.05,0.66,62.0,12.0,7.2,11.0,Now Production,E,Nintendo,True
Skylanders: Trap Team,PS3,2014.0,Action,Activision,0.26,0.3,0.0,0.11,0.66,,,7,5.0,Toys for Bob,E10+,Playstation,True
Keystone Kapers,2600,1982.0,Action,Activision,0.62,0.04,0.0,0.01,0.66,,,,,,,Other,False
Gods Eater Burst,PSP,2010.0,Action,Namco Bandai Games,0.03,0.0,0.62,0.0,0.66,71.0,30.0,7.9,35.0,"Shift, Bandai Namco Games",T,Portable,True
One Piece: Pirate Warriors 2,PS3,2013.0,Action,Namco Bandai Games,0.0,0.19,0.42,0.05,0.66,71.0,35.0,7.8,61.0,Omega Force,T,Playstation,True
Kung Fu Panda,PS2,2008.0,Action,Activision,0.24,0.0,0.0,0.41,0.65,73.0,6.0,8.6,5.0,Xpec,E10+,Playstation,True
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PSP,2007.0,Action,Activision,0.23,0.26,0.0,0.16,0.65,,,,,,,Portable,False
Kung-Fu Master,2600,1987.0,Action,Activision,0.6,0.04,0.0,0.01,0.65,,,,,,,Other,False
Toy Story 3: The Video Game,PSP,2010.0,Action,Disney Interactive Studios,0.27,0.24,0.0,0.14,0.65,,,,,,,Portable,False
Disney Infinity 2.0: Marvel Super Heroes,WiiU,2014.0,Action,Disney Interactive Studios,0.37,0.22,0.0,0.06,0.65,,,,,,,Nintendo,False
007: Quantum of Solace,Wii,2008.0,Action,Activision,0.29,0.28,0.01,0.07,0.65,54.0,11.0,7.5,26.0,Treyarch,T,Nintendo,True
Assassin's Creed IV: Black Flag,PC,2013.0,Action,Ubisoft,0.22,0.38,0.0,0.05,0.64,84.0,10.0,7.7,1470.0,Ubisoft,M,PC,True
Onimusha: Dawn of Dreams,PS2,2006.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64,81.0,45.0,8.9,62.0,Capcom,M,Playstation,True
Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.4,0.02,0.64,61.0,37.0,7.9,29.0,Capcom,T,Playstation,True
Angry Birds Trilogy,3DS,2012.0,Action,Activision,0.38,0.2,0.0,0.05,0.63,62.0,7.0,4.6,20.0,Exient Entertainment,E,Portable,True
Okami,PS2,2006.0,Action,Capcom,0.11,0.03,0.15,0.34,0.63,93.0,69.0,9.3,327.0,Clover Studio,T,Playstation,True
LEGO Pirates of the Caribbean: The Video Game,3DS,2011.0,Action,Disney Interactive Studios,0.29,0.27,0.0,0.06,0.62,71.0,16.0,7.3,20.0,Traveller's Tales,E10+,Portable,True
Disney Infinity 2.0: Marvel Super Heroes,PS4,2014.0,Action,Disney Interactive Studios,0.27,0.25,0.0,0.1,0.62,,,,,,,Playstation,False
Viewtiful Joe,GC,2003.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62,93.0,52.0,8.3,115.0,Clover Studio,T,Portable,True
Prince of Persia: The Forgotten Sands,X360,2010.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62,74.0,69.0,7.8,112.0,Ubisoft Montreal,T,Xbox,True
Disney Universe,PS3,2011.0,Action,Disney Interactive Studios,0.3,0.22,0.0,0.09,0.61,70.0,29.0,6.9,13.0,Eurocom Entertainment Software,E10+,Playstation,True
Spider-Man: Mysterio's Menace,GBA,2001.0,Action,Activision,0.43,0.16,0.0,0.01,0.61,84.0,8.0,8.7,11.0,Vicarious Visions,E,Portable,True
Disney Infinity,WiiU,2013.0,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6,71.0,10.0,7.6,58.0,Avalanche Software,E10+,Nintendo,True
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",X360,2007.0,Action,Activision,0.51,0.04,0.0,0.05,0.6,,,,,,,Xbox,False
Okami,Wii,2008.0,Action,Capcom,0.43,0.09,0.04,0.05,0.6,90.0,44.0,8.9,236.0,Ready at Dawn,T,Nintendo,True
Avatar: The Game,PSP,2009.0,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6,,,,,,,Portable,False
Assassin's Creed: Brotherhood,PC,2011.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59,88.0,24.0,8.2,1102.0,Ubisoft Montreal,M,PC,True
Naruto: The Broken Bond,X360,2008.0,Action,Ubisoft,0.24,0.28,0.0,0.06,0.59,80.0,34.0,7.8,46.0,Ubisoft Montreal,T,Xbox,True
Mega Man X7,PS2,2003.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58,58.0,30.0,5.1,38.0,"Valuewave Co.,Ltd.",E,Playstation,True
LEGO Indiana Jones 2: The Adventure Continues,PSP,2009.0,Action,Activision,0.21,0.23,0.0,0.14,0.58,,,tbd,,Traveller's Tales,E10+,Portable,True
Lost: Via Domus,X360,2008.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.58,55.0,50.0,6.4,58.0,Ubisoft Montreal,T,Xbox,True
Tom Clancy's HAWX,X360,2009.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58,73.0,64.0,7.3,51.0,Ubisoft Romania,T,Xbox,True
Prince of Persia: The Two Thrones,XB,2005.0,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58,85.0,46.0,8.4,28.0,Ubisoft,M,Xbox,True
Tenchu 2: Birth of the Stealth Assassins,PS,2000.0,Action,Activision,0.32,0.22,0.0,0.04,0.58,77.0,14.0,8.7,32.0,Acquire,M,Playstation,True
Naruto: Uzumaki Chronicles 2,PS2,2006.0,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58,52.0,22.0,6.9,17.0,Cavia Inc.,T,Playstation,True
Phineas and Ferb: Across the 2nd Dimension,Wii,2011.0,Action,Disney Interactive Studios,0.35,0.18,0.0,0.05,0.57,76.0,4.0,8.3,6.0,High Impact Games,E10+,Nintendo,True
Skylanders: Spyro's Adventure,3DS,2011.0,Action,Activision,0.32,0.2,0.0,0.05,0.57,82.0,8.0,4.9,62.0,Vicarious Visions,E10+,Portable,True
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007.0,Action,Capcom,0.24,0.0,0.31,0.02,0.57,,,,,,,Portable,False
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",Wii,2007.0,Action,Activision,0.5,0.03,0.0,0.05,0.57,,,,,,,Nintendo,False
Disney Universe,X360,2011.0,Action,Disney Interactive Studios,0.37,0.14,0.0,0.05,0.57,66.0,31.0,5.3,13.0,Eurocom Entertainment Software,E10+,Xbox,True
Resident Evil Outbreak File #2,PS2,2004.0,Action,Capcom,0.19,0.15,0.17,0.05,0.57,58.0,35.0,7.7,70.0,Capcom,M,Playstation,True
True Crime: Streets of LA,GC,2003.0,Action,Activision,0.44,0.11,0.0,0.02,0.56,77.0,29.0,7.3,29.0,Exakt,M,Portable,True
Tom Clancy's HAWX,PS3,2009.0,Action,Ubisoft,0.21,0.22,0.05,0.09,0.56,74.0,35.0,8.1,39.0,Ubisoft Romania,T,Playstation,True
TMNT,X360,2007.0,Action,Ubisoft,0.48,0.03,0.0,0.05,0.56,58.0,31.0,6.3,32.0,Ubisoft Montreal,E10+,Xbox,True
Enslaved: Odyssey to the West,PS3,2010.0,Action,Namco Bandai Games,0.24,0.22,0.01,0.09,0.55,80.0,53.0,7.4,312.0,Ninja Theory,T,Playstation,True
Resident Evil: Revelations 2,PS4,2015.0,Action,Capcom,0.13,0.24,0.1,0.07,0.55,75.0,30.0,7.7,284.0,Capcom,M,Playstation,True
The Amazing Spider-Man 2 (2014),PS4,2014.0,Action,Activision,0.2,0.25,0.02,0.09,0.55,,,,,,,Playstation,False
Assassin's Creed: Unity,PC,2014.0,Action,Ubisoft,0.18,0.33,0.0,0.04,0.55,70.0,10.0,3,1463.0,"Ubisoft, Ubisoft Montreal",M,PC,True
Assassin's Creed II,PC,2010.0,Action,Ubisoft,0.01,0.45,0.0,0.09,0.55,86.0,22.0,6.9,1611.0,Ubisoft Montreal,M,PC,True
Madagascar: Escape 2 Africa,Wii,2008.0,Action,Activision,0.31,0.18,0.0,0.05,0.55,,,,,,,Nintendo,False
Enslaved: Odyssey to the West,X360,2010.0,Action,Namco Bandai Games,0.3,0.19,0.0,0.05,0.54,82.0,72.0,7.8,295.0,Ninja Theory,T,Xbox,True
Phineas and Ferb: Across the 2nd Dimension,DS,2011.0,Action,Disney Interactive Studios,0.31,0.18,0.0,0.05,0.54,47.0,5.0,tbd,,Altron,E,Portable,True
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005.0,Action,Ubisoft,0.34,0.17,0.0,0.02,0.53,82.0,43.0,8.5,11.0,Ubisoft Montpellier,T,Xbox,True
Spider-Man,N64,2000.0,Action,Activision,0.43,0.09,0.0,0.01,0.53,,,,,,,Other,False
G-Force,DS,2009.0,Action,Disney Interactive Studios,0.26,0.21,0.0,0.05,0.53,,,9,5.0,Keen Games,E10+,Portable,True
How to Train Your Dragon,DS,2010.0,Action,Activision,0.31,0.17,0.0,0.05,0.53,60.0,8.0,tbd,,Griptonite Games,E10+,Portable,True
Kung Fu Panda,PS3,2008.0,Action,Activision,0.21,0.21,0.0,0.09,0.51,76.0,23.0,7.3,18.0,"Luxoflux, Inc.",E10+,Playstation,True
Epic Mickey 2: The Power of Two,X360,2012.0,Action,Disney Interactive Studios,0.32,0.15,0.0,0.04,0.51,59.0,35.0,5.5,22.0,Blitz Games Studios,E,Xbox,True
Monsters vs. Aliens,DS,2009.0,Action,Activision,0.33,0.13,0.0,0.05,0.5,47.0,8.0,tbd,,Griptonite Games,E,Portable,True
Lost: Via Domus,PS3,2008.0,Action,Ubisoft,0.19,0.22,0.0,0.09,0.5,54.0,30.0,6.9,28.0,Ubisoft Montreal,T,Playstation,True
Prince of Persia Trilogy,PS3,2010.0,Action,Ubisoft,0.17,0.24,0.0,0.09,0.5,,,,,,,Playstation,False
Shrek SuperSlam,PS2,2005.0,Action,Activision,0.24,0.19,0.0,0.06,0.5,67.0,21.0,9,26.0,Shaba Games,E10+,Playstation,True
Fantastic 4,PS2,2005.0,Action,Activision,0.41,0.01,0.0,0.07,0.5,64.0,42.0,7.8,19.0,7 Studios,T,Playstation,True
Spider-Man 2,DS,2004.0,Action,Activision,0.41,0.02,0.03,0.04,0.49,61.0,46.0,5,6.0,Vicarious Visions,E,Portable,True
Dynasty Warriors: Gundam 2,PS3,2008.0,Action,Namco Bandai Games,0.09,0.06,0.32,0.03,0.49,54.0,22.0,7,28.0,Omega Force,T,Playstation,True
Ace Combat: Assault Horizon,X360,2011.0,Action,Namco Bandai Games,0.3,0.12,0.03,0.04,0.49,78.0,71.0,6.2,82.0,Project Aces,T,Xbox,True
Resident Evil: The Mercenaries 3D,3DS,2011.0,Action,Capcom,0.16,0.16,0.13,0.03,0.49,65.0,69.0,6.4,110.0,Capcom,M,Portable,True
Epic Mickey: Power of Illusion,3DS,2012.0,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04,0.49,,,,,,,Portable,False
Pac-Man World 2,XB,2002.0,Action,Namco Bandai Games,0.36,0.11,0.0,0.02,0.49,66.0,7.0,tbd,,Namco,E,Xbox,True
Shrek the Third,PS2,2007.0,Action,Activision,0.4,0.02,0.0,0.07,0.48,56.0,18.0,6.1,9.0,Amaze Entertainment,E10+,Playstation,True
Madagascar: Operation Penguin,GBA,2005.0,Action,Activision,0.35,0.13,0.0,0.01,0.48,,,tbd,,Vicarious Visions,E,Portable,True
Far Cry 2,PC,2008.0,Action,Ubisoft,0.01,0.45,0.0,0.03,0.48,85.0,34.0,5.8,1345.0,Ubisoft Montreal,M,PC,True
Skylanders: SuperChargers,WiiU,2015.0,Action,Activision,0.25,0.19,0.0,0.04,0.48,87.0,13.0,5.6,65.0,Vicarious Visions,E10+,Nintendo,True
Bakugan Battle Brawlers: Defenders of the Core,DS,2010.0,Action,Activision,0.41,0.02,0.02,0.03,0.48,,,tbd,,Now Production,E10+,Portable,True
Double Dragon,2600,1989.0,Action,Activision,0.45,0.02,0.0,0.01,0.47,,,,,,,Other,False
Epic Mickey 2: The Power of Two,PS3,2012.0,Action,Disney Interactive Studios,0.21,0.18,0.0,0.08,0.47,59.0,36.0,4.3,24.0,Blitz Games Studios,E,Playstation,True
Commando,2600,1987.0,Action,Activision,0.44,0.02,0.0,0.0,0.47,,,,,,,Other,False
Hamsterz Life,DS,2006.0,Action,Ubisoft,0.43,0.01,0.0,0.04,0.47,,,9,13.0,Digital Kids,E,Portable,True
Spider-Man: Friend or Foe,DS,2007.0,Action,Activision,0.43,0.0,0.0,0.04,0.47,55.0,12.0,tbd,,Artificial Mind and Movement,E10+,Portable,True
Kong: The 8th Wonder of the World,GBA,2005.0,Action,Ubisoft,0.33,0.12,0.0,0.01,0.47,59.0,8.0,tbd,,Ubisoft,E10+,Portable,True
One Piece: Pirate Warriors 3,PS4,2015.0,Action,Namco Bandai Games,0.09,0.22,0.1,0.06,0.46,74.0,34.0,7.4,118.0,Omega Force,T,Playstation,True
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008.0,Action,Capcom,0.22,0.0,0.22,0.02,0.46,,,,,,,Portable,False
Disney Infinity 3.0,WiiU,2015.0,Action,Disney Interactive Studios,0.21,0.21,0.0,0.04,0.46,,,,,,,Nintendo,False
Apocalypse,PS,1998.0,Action,Activision,0.25,0.17,0.0,0.03,0.45,,,,,,,Playstation,False
Mobile Suit Gundam,PS,1995.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,,,,,,,Playstation,False
Pirates of the Caribbean: At World's End,Wii,2007.0,Action,Disney Interactive Studios,0.39,0.02,0.01,0.04,0.45,53.0,17.0,7.2,17.0,Eurocom Entertainment Software,T,Nintendo,True
Bee Movie Game,DS,2007.0,Action,Activision,0.41,0.0,0.0,0.03,0.45,58.0,9.0,tbd,,Vicarious Visions,E,Portable,True
Disney Infinity 3.0,PS3,2015.0,Action,Disney Interactive Studios,0.16,0.21,0.0,0.07,0.45,,,,,,,Playstation,False
Deadpool,PS3,2013.0,Action,Activision,0.23,0.14,0.0,0.08,0.45,61.0,27.0,7.2,221.0,High Moon Studios,M,Playstation,True
Watch Dogs,PC,2014.0,Action,Ubisoft,0.15,0.26,0.0,0.03,0.45,77.0,18.0,4.7,3288.0,Ubisoft Montreal,M,PC,True
Van Helsing,PS2,2004.0,Action,Activision,0.22,0.17,0.0,0.06,0.44,64.0,41.0,8.5,19.0,Saffire,T,Playstation,True
Skylanders: Trap Team,PS4,2014.0,Action,Activision,0.19,0.18,0.0,0.07,0.44,78.0,46.0,5.6,32.0,Toys for Bob,E10+,Playstation,True
Transformers: Revenge of the Fallen (Wii & PS2 Version),DS,2009.0,Action,Activision,0.26,0.14,0.0,0.04,0.44,,,,,,,Portable,False
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014.0,Action,Disney Interactive Studios,0.25,0.15,0.0,0.04,0.44,,,,,,,Xbox,False
Transformers: Dark of the Moon - Autobots/Decepticons,DS,2011.0,Action,Activision,0.32,0.08,0.0,0.03,0.44,,,,,,,Portable,False
G-Force,Wii,2009.0,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44,69.0,6.0,8,6.0,Eurocom Entertainment Software,E10+,Nintendo,True
Transformers: Fall of Cybertron,X360,2012.0,Action,Activision,0.28,0.12,0.0,0.04,0.44,79.0,52.0,8.3,160.0,High Moon Studios,T,Xbox,True
DmC: Devil May Cry,X360,2013.0,Action,Capcom,0.26,0.12,0.01,0.04,0.44,86.0,65.0,5.1,1438.0,Ninja Theory,M,Xbox,True
Ben 10 Alien Force: Vilgax Attacks,Wii,2009.0,Action,D3Publisher,0.25,0.14,0.0,0.04,0.44,65.0,5.0,4,6.0,Papaya Studios,E10+,Nintendo,True
Mobile Suit Gundam: One Year War,PS2,2005.0,Action,Namco Bandai Games,0.0,0.0,0.44,0.0,0.44,,,,,,,Playstation,False
Spider-Man: Shattered Dimensions,PS3,2010.0,Action,Activision,0.26,0.12,0.0,0.05,0.44,74.0,57.0,7.5,96.0,Beenox,T,Playstation,True
007: Quantum of Solace,PS2,2008.0,Action,Activision,0.17,0.0,0.0,0.26,0.43,,,,,,,Playstation,False
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",PS2,2005.0,Action,Disney Interactive Studios,0.36,0.01,0.0,0.06,0.43,68.0,36.0,8.4,17.0,Traveller's Tales,T,Playstation,True
Deadpool,X360,2013.0,Action,Activision,0.26,0.13,0.0,0.04,0.43,62.0,49.0,7.4,368.0,High Moon Studios,M,Xbox,True
Devil May Cry HD Collection,X360,2012.0,Action,Capcom,0.28,0.11,0.01,0.03,0.43,77.0,32.0,8.4,93.0,"Capcom, Pipeworks Software, Inc.",M,Xbox,True
Barnstorming,2600,1981.0,Action,Activision,0.4,0.02,0.0,0.0,0.43,,,,,,,Other,False
Bakugan: Battle Brawlers,PS2,2009.0,Action,Activision,0.21,0.16,0.0,0.05,0.43,,,5.7,7.0,Now Production,E,Playstation,True
Naruto: Ninja Council 3,DS,2006.0,Action,D3Publisher,0.39,0.0,0.0,0.03,0.42,56.0,23.0,6.5,13.0,Aspect,E10+,Portable,True
Super Wagyan Land,SNES,1991.0,Action,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42,,,,,,,Other,False
Ben 10 Alien Force: Vilgax Attacks,DS,2009.0,Action,D3Publisher,0.22,0.16,0.0,0.04,0.42,,,tbd,,D3Publisher,E,Portable,True
Skylanders: SuperChargers,X360,2015.0,Action,Activision,0.25,0.13,0.0,0.04,0.42,,,5.4,5.0,Vicarious Visions,E10+,Xbox,True
Ben 10 Alien Force: Vilgax Attacks,PSP,2009.0,Action,D3Publisher,0.13,0.19,0.0,0.11,0.42,,,tbd,,Papaya Studios,E10+,Portable,True
Star Wars Trilogy: Apprentice of the Force,GBA,2004.0,Action,Ubisoft,0.3,0.11,0.0,0.01,0.42,60.0,21.0,tbd,,Ubisoft,E,Portable,True
Pirates of the Caribbean: At World's End,PSP,2007.0,Action,Disney Interactive Studios,0.15,0.17,0.0,0.1,0.42,61.0,5.0,7,11.0,Eurocom Entertainment Software,T,Portable,True
How to Train Your Dragon,Wii,2010.0,Action,Activision,0.23,0.15,0.0,0.04,0.42,59.0,11.0,7,4.0,Etranges Libellules,E10+,Nintendo,True
Mega Man X6,PS,2001.0,Action,Capcom,0.14,0.1,0.16,0.03,0.42,65.0,14.0,6.8,44.0,Capcom,E,Playstation,True
TRON: Evolution,PS3,2010.0,Action,Disney Interactive Studios,0.27,0.09,0.0,0.05,0.42,58.0,47.0,6.2,28.0,Propaganda Games,T,Playstation,True
Pirates of the Caribbean: At World's End,PS2,2007.0,Action,Disney Interactive Studios,0.2,0.16,0.0,0.05,0.42,54.0,10.0,7,10.0,Eurocom Entertainment Software,T,Playstation,True
Mobile Suit Gundam,SAT,1995.0,Action,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41,,,,,,,Other,False
Tom Clancy's HAWX 2,PS3,2010.0,Action,Ubisoft,0.21,0.12,0.03,0.05,0.41,70.0,30.0,6.8,19.0,Ubisoft,T,Playstation,True
X-Men: The Official Game,PS2,2006.0,Action,Activision,0.2,0.16,0.0,0.05,0.41,52.0,44.0,7.5,20.0,"Z-Axis, Ltd.",T,Playstation,True
The Smurfs,DS,2011.0,Action,Ubisoft,0.23,0.14,0.0,0.04,0.41,,,tbd,,Land Ho!,E,Portable,True
Minority Report: Everybody Runs,PS2,2002.0,Action,Activision,0.2,0.15,0.0,0.05,0.41,50.0,26.0,5,14.0,Treyarch,T,Playstation,True
Spider-Man: Web of Shadows,X360,2008.0,Action,Activision,0.36,0.02,0.0,0.03,0.4,68.0,57.0,8.6,87.0,Shaba Games,T,Xbox,True
Beowulf: The Game,X360,2007.0,Action,Ubisoft,0.36,0.01,0.0,0.03,0.4,51.0,23.0,4.7,30.0,Ubisoft Shanghai,M,Xbox,True
The Chronicles of Narnia: Prince Caspian,PS2,2008.0,Action,Disney Interactive Studios,0.2,0.15,0.0,0.05,0.4,67.0,6.0,7,8.0,Traveller's Tales,T,Playstation,True
Asura's Wrath,PS3,2012.0,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71.0,39.0,7.4,169.0,CyberConnect2,T,Playstation,True
Avatar: The Game,DS,2009.0,Action,Ubisoft,0.18,0.18,0.0,0.04,0.4,,,,,,,Portable,False
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007.0,Action,Activision,0.32,0.03,0.01,0.04,0.4,,,,,,,Playstation,False
Disney Infinity 3.0,X360,2015.0,Action,Disney Interactive Studios,0.21,0.15,0.0,0.03,0.39,,,,,,,Xbox,False
Ultimate Spider-Man,XB,2005.0,Action,Activision,0.26,0.11,0.0,0.02,0.39,77.0,53.0,7.4,20.0,Treyarch,T,Xbox,True
Laser Blast,2600,1981.0,Action,Activision,0.37,0.02,0.0,0.0,0.39,,,,,,,Other,False
Transformers: Fall of Cybertron,PS3,2012.0,Action,Activision,0.19,0.14,0.0,0.06,0.39,77.0,32.0,8.2,87.0,High Moon Studios,T,Playstation,True
WipeOut 3 The Game,Wii,2012.0,Action,Activision,0.36,0.0,0.0,0.03,0.39,,,,,,,Nintendo,False
One Piece: Unlimited World Red,3DS,2013.0,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.39,75.0,5.0,7.6,26.0,Ganbarion,T,Portable,True
Ice Age,GBA,2002.0,Action,Ubisoft,0.27,0.1,0.0,0.01,0.38,47.0,11.0,tbd,,Artificial Mind and Movement,E,Portable,True
Lilo & Stitch 2: Hämsterviel Havoc,GBA,2004.0,Action,Disney Interactive Studios,0.27,0.1,0.0,0.01,0.38,,,,,,,Portable,False
Mobile Suit Gundam version 2.0,PS,1996.0,Action,Namco Bandai Games,0.0,0.0,0.36,0.02,0.38,,,,,,,Playstation,False
Ice Age: Dawn of the Dinosaurs,DS,2009.0,Action,Activision,0.2,0.15,0.0,0.04,0.38,54.0,4.0,tbd,,Activision,E,Portable,True
Madagascar: Escape 2 Africa,PS2,2008.0,Action,Activision,0.12,0.0,0.0,0.26,0.38,56.0,4.0,5.8,6.0,Toys for Bob,E,Playstation,True
Skylanders Giants,WiiU,2012.0,Action,Activision,0.22,0.12,0.0,0.03,0.37,80.0,8.0,6.9,22.0,Vicarious Visions,E10+,Nintendo,True
Resident Evil Zero,PS4,2016.0,Action,Capcom,0.1,0.17,0.05,0.05,0.37,,,,,,,Playstation,False
Ultimate Spider-Man,GC,2005.0,Action,Activision,0.29,0.07,0.0,0.01,0.37,76.0,36.0,7.2,21.0,Treyarch,T,Portable,True
Spider-Man: Friend or Foe,PS2,2007.0,Action,Activision,0.31,0.01,0.0,0.05,0.37,62.0,15.0,8.3,19.0,Next Level Games,E10+,Playstation,True
Prince of Persia: The Forgotten Sands,PSP,2010.0,Action,Ubisoft,0.09,0.18,0.01,0.1,0.37,65.0,10.0,7.4,14.0,Ubisoft Quebec,T,Portable,True
Skylanders: SuperChargers,PS3,2015.0,Action,Activision,0.16,0.15,0.0,0.06,0.37,,,4.2,6.0,Vicarious Visions,E10+,Playstation,True
Skylanders: Trap Team,XOne,2014.0,Action,Activision,0.26,0.07,0.0,0.04,0.37,,,,,,,Xbox,False
Tom Clancy's HAWX 2,X360,2010.0,Action,Ubisoft,0.24,0.09,0.01,0.03,0.36,68.0,57.0,6.3,29.0,Ubisoft,T,Xbox,True
Mobile Suit Z-Gundam,PS,1997.0,Action,Namco Bandai Games,0.0,0.0,0.34,0.02,0.36,,,,,,,Playstation,False
The Chronicles of Narnia: Prince Caspian,Wii,2008.0,Action,Disney Interactive Studios,0.31,0.02,0.0,0.03,0.36,63.0,5.0,7.1,12.0,Traveller's Tales,T,Nintendo,True
Spider-Man: Shattered Dimensions,X360,2010.0,Action,Activision,0.24,0.08,0.0,0.03,0.36,76.0,68.0,7.6,96.0,Beenox,T,Xbox,True
TMNT,Wii,2007.0,Action,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,5.9,11.0,Ubisoft Montreal,E10+,Nintendo,True
Watch Dogs 2,XOne,2016.0,Action,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,9.0,7.7,131.0,Ubisoft Montreal,M,Xbox,True
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,Namco Bandai Games,0.0,0.0,0.35,0.0,0.35,,,,,,,Portable,False
Disney's Tarzan: Return to the Jungle,GBA,2002.0,Action,Activision,0.25,0.09,0.0,0.01,0.35,68.0,8.0,tbd,,Digital Eclipse,E,Portable,True
Batman: Rise of Sin Tzu,PS2,2003.0,Action,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,Ubisoft Montreal,T,Playstation,True
Dark Void,PS3,2010.0,Action,Capcom,0.18,0.12,0.0,0.05,0.35,59.0,50.0,6,36.0,Airtight Games,T,Playstation,True
Assassin's Creed III,WiiU,2012.0,Action,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Ubisoft Quebec,M,Nintendo,True
